timestamp,current_price,predicted_price,smoothed_predicted,decision
2025-05-11 04:17:23,143581000.0,145072050.0,145072050.0,buy
2025-05-11 04:20:23,143741000.0,145167730.0,145103940.0,buy
2025-05-11 04:23:24,143740000.0,145167140.0,145135630.0,buy
2025-05-11 04:26:25,143741000.0,145167730.0,145167540.0,buy
2025-05-11 04:29:25,143823000.0,145216740.0,145183860.0,buy
2025-05-11 04:32:26,143822000.0,145216140.0,145200200.0,buy
2025-05-11 04:35:26,143851000.0,145233490.0,145222130.0,buy
2025-05-11 04:38:27,143898000.0,145261600.0,145237070.0,buy
2025-05-11 04:41:28,143893000.0,145258620.0,145251250.0,buy
2025-05-11 04:44:28,143910000.0,145268780.0,145262990.0,buy
2025-05-11 04:47:29,143910000.0,145268780.0,145265400.0,buy
2025-05-11 04:50:29,143911000.0,145269390.0,145269000.0,buy
2025-05-11 04:53:30,143851000.0,145233490.0,145257220.0,buy
2025-05-11 04:56:31,143757000.0,145177280.0,145226720.0,buy
2025-05-11 04:59:31,143830000.0,145220930.0,145210560.0,buy
2025-05-11 05:02:32,143739000.0,145166510.0,145188240.0,buy
2025-05-11 05:05:32,143672000.0,145126460.0,145171310.0,buy
2025-05-11 05:08:33,143649000.0,145112670.0,145135220.0,buy
2025-05-11 05:11:33,143860000.0,145238860.0,145159340.0,buy
2025-05-11 05:14:34,143857000.0,145237070.0,145196210.0,buy
2025-05-11 05:17:35,143852000.0,145234100.0,145236670.0,buy
2025-05-11 05:20:35,143898000.0,145261600.0,145244260.0,buy
2025-05-11 05:23:36,143826000.0,145218530.0,145238060.0,buy
2025-05-11 05:26:36,143890000.0,145256830.0,145245650.0,buy
2025-05-11 05:29:37,143864000.0,145241260.0,145238860.0,buy
2025-05-11 05:32:38,143824000.0,145217330.0,145238480.0,buy
2025-05-11 05:35:38,143832000.0,145222130.0,145226900.0,buy
2025-05-11 05:38:39,143832000.0,145222130.0,145220530.0,buy
2025-05-11 05:41:39,143824000.0,145217330.0,145220530.0,buy
2025-05-11 05:44:40,143870000.0,145244850.0,145228100.0,buy
2025-05-11 05:47:40,143824000.0,145217330.0,145226500.0,buy
2025-05-11 05:50:41,143818000.0,145213760.0,145225310.0,buy
2025-05-11 05:53:42,143790000.0,145197000.0,145209360.0,buy
2025-05-11 05:56:42,143716000.0,145152750.0,145187840.0,buy
2025-05-11 05:59:43,143661000.0,145119870.0,145156540.0,buy
2025-05-11 06:02:43,143772000.0,145186260.0,145152960.0,buy
2025-05-11 06:05:44,143686000.0,145134820.0,145146980.0,buy
2025-05-11 06:08:45,143685000.0,145134200.0,145151760.0,buy
2025-05-11 06:11:45,143686000.0,145134820.0,145134610.0,buy
2025-05-11 06:14:46,143686000.0,145134820.0,145134610.0,buy
2025-05-11 06:17:46,143672000.0,145126460.0,145132030.0,buy
2025-05-11 06:20:47,143672000.0,145126460.0,145129250.0,buy
2025-05-11 06:23:48,143671000.0,145125820.0,145126260.0,buy
2025-05-11 06:26:48,143659000.0,145118670.0,145123650.0,buy
2025-05-11 06:29:49,143631000.0,145101900.0,145115460.0,buy
2025-05-11 06:32:49,143624000.0,145097740.0,145106110.0,buy
2025-05-11 06:35:50,143629000.0,145100750.0,145100140.0,buy
2025-05-11 06:38:50,143664000.0,145121680.0,145106740.0,buy
2025-05-11 06:41:51,143663000.0,145121060.0,145114500.0,buy
2025-05-11 06:44:52,143691000.0,145137810.0,145126850.0,buy
2025-05-11 06:47:53,143830000.0,145255000.0,145171300.0,buy
2025-05-11 06:50:53,143900000.0,145262800.0,145218540.0,buy
2025-05-11 06:53:54,143889000.0,145256200.0,145258000.0,buy
2025-05-11 06:56:55,144056000.0,145356110.0,145291700.0,buy
2025-05-11 06:59:55,144174000.0,145426700.0,145346320.0,buy
2025-05-11 07:02:56,144000000.0,145322610.0,145368460.0,buy
2025-05-11 07:05:56,144109000.0,145387840.0,145379060.0,buy
2025-05-11 07:08:57,144088000.0,145375300.0,145361920.0,buy
2025-05-11 07:11:58,144046000.0,145350140.0,145371090.0,buy
2025-05-11 07:14:58,144043000.0,145348340.0,145357940.0,buy
2025-05-11 07:17:59,144086000.0,145374060.0,145357520.0,buy
2025-05-11 07:20:59,144097000.0,145368110.0,145363500.0,buy
2025-05-11 07:24:00,144063000.0,145360320.0,145367500.0,buy
2025-05-11 07:27:00,144055000.0,145355520.0,145361330.0,buy
2025-05-11 07:30:01,144062000.0,145359730.0,145358530.0,buy
2025-05-11 07:33:02,144097000.0,145380670.0,145365310.0,buy
2025-05-11 07:36:02,144105000.0,145385440.0,145375280.0,buy
2025-05-11 07:39:03,144135000.0,145403400.0,145389840.0,buy
2025-05-11 07:42:04,144134000.0,145402800.0,145397200.0,buy
2025-05-11 07:45:04,144100000.0,145382460.0,145396220.0,buy
2025-05-11 07:48:05,144056000.0,145356110.0,145380460.0,buy
2025-05-11 07:51:05,144000000.0,145322610.0,145353730.0,buy
2025-05-11 07:54:06,144014000.0,145330990.0,145336580.0,buy
2025-05-11 07:57:07,144081000.0,145371100.0,145341570.0,buy
2025-05-11 08:00:07,143969000.0,145304100.0,145335400.0,buy
2025-05-11 08:03:08,143919000.0,145274160.0,145316460.0,buy
2025-05-11 08:06:08,143899000.0,145262190.0,145280140.0,buy
2025-05-11 08:09:09,143918000.0,145273550.0,145269970.0,buy
2025-05-11 08:12:10,144041000.0,145347150.0,145294290.0,buy
2025-05-11 08:15:10,144253000.0,145474000.0,145364910.0,buy
2025-05-11 09:37:36,144753000.0,139838997.6978302,139838997.6978302,sell
2025-05-11 09:41:13,144633000.0,145407338.50502968,145407338.50502968,buy
2025-05-11 09:44:14,144776000.0,145430467.44179726,145418902.97341347,hold
2025-05-11 09:47:14,144888000.0,145448742.25866795,145428849.40183163,hold
2025-05-11 09:50:15,144901000.0,145451230.9191227,145443480.2065293,hold
2025-05-11 09:53:15,144768000.0,145430566.00260735,145443513.06013265,hold
2025-05-11 09:56:16,144700000.0,145420151.41034126,145433982.7773571,buy
2025-05-11 09:59:17,144731000.0,145425079.45084572,145425265.6212648,hold
2025-05-11 10:02:17,144362000.0,145383051.47874355,145409427.4466435,buy
2025-05-11 10:05:18,144545000.0,145396472.17571735,145401534.36843553,buy
2025-05-11 10:08:19,144708000.0,145422804.33881283,145400775.9977579,hold
2025-05-11 10:11:19,144707000.0,145421884.43791866,145413720.31748295,hold
2025-05-11 10:14:20,144831000.0,145443231.0667038,145429306.61447844,hold
2025-05-11 10:17:20,144749000.0,145430401.73459053,145431839.07973766,hold
2025-05-11 10:20:21,144691000.0,145421325.9266615,145431652.9093186,buy
2025-05-11 10:23:21,144793000.0,145438327.66640186,145430018.44255129,hold
